index,id,productDisplayName,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,title,description,features,keywords
0,15970,Turtle Check Men Navy Blue Shirt,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Turtle Check Men Navy Blue Casual Shirt,"Elevate your casual wardrobe with the Turtle Check Men Navy Blue Shirt. Designed for men, this shirt combines a classic check pattern with a versatile navy blue base, perfect for the fall season. Crafted for comfort and style, it’s an ideal choice for everyday wear or casual outings.","['Classic check pattern in navy blue', 'Perfect for fall season wear', 'Comfortable fabric for casual use', 'Tailored fit suited for men', 'Durable stitching for long-lasting wear']","['shirt', 'navy blue', 'men', 'casual', 'fall', 'check shirt', ""men's topwear"", 'apparel']"
1,39386,Peter England Men Party Blue Jeans,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Peter England Men Party Blue Jeans Casual Bottomwear,"Step out in style with the Peter England Men Party Blue Jeans, designed for casual summer wear. Crafted to offer both comfort and a trendy look, these blue jeans are perfect for your casual outings and parties. Made from high-quality fabric, they ensure durability and a great fit throughout the day.","['Classic blue color perfect for casual and party wear', 'Comfortable fit suitable for summer season', 'Durable fabric for long-lasting use', 'Designed specifically for men', 'Versatile bottomwear for casual occasions']","['jeans', 'blue', 'men', 'casual', 'summer', 'party', 'bottomwear', 'Peter England']"
2,59263,Titan Women Silver Watch,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Titan Women Silver Casual Watch - Winter Collection,"Elevate your everyday style with the Titan Women Silver Watch, designed for casual wear. This elegant silver timepiece from the 2016 Winter collection combines classic aesthetics with modern functionality. Perfectly suited for women who appreciate subtle sophistication in their accessories.","['Elegant silver finish suitable for casual occasions', 'Durable stainless steel strap for comfortable wear', 'Clear, easy-to-read dial with minimalist design', 'Water-resistant to handle everyday splashes', 'Lightweight design ideal for all-day comfort']","['Titan watch', ""women's watch"", 'silver watch', 'casual watch', 'winter fashion', '2016 watch', 'accessories', ""women's accessories"", 'stainless steel watch']"
3,21379,Manchester United Men Solid Black Track Pants,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011.0,Casual,Manchester United Men Solid Black Casual Track Pants,"Stay comfortable and stylish with the Manchester United Men Solid Black Track Pants. Designed for casual wear, these track pants are perfect for fall outings or relaxed days. Made from quality fabric, they offer a sleek look with a solid black color. Ideal for any Manchester United fan looking to showcase their team spirit effortlessly.","['Solid black color for a versatile look', 'Designed specifically for men', 'Perfect for casual wear', 'Ideal for fall season', 'Comfortable fit with quality fabric', 'Official Manchester United branding', 'Elastic waistband for adjustable comfort']","['track pants', 'black track pants', ""men's track pants"", 'casual track pants', 'fall track pants', 'Manchester United apparel', 'bottomwear', ""men's bottomwear""]"
4,53759,Puma Men Grey T-shirt,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Puma Men Grey Casual T-shirt for Summer,"Stay comfortable and stylish this summer with the Puma Men Grey T-shirt. Designed for casual wear, this t-shirt offers a perfect blend of comfort and fashion. Its versatile grey color makes it easy to pair with any outfit. Ideal for men looking for breathable and lightweight summer apparel.","['Lightweight and breathable fabric for summer comfort', 'Classic grey color suitable for casual occasions', 'Designed specifically for men', 'Durable material ensuring long-lasting wear', 'Perfect for everyday casual use']","['men t-shirt', 'grey t-shirt', 'casual t-shirt', 'summer wear', 'men casual topwear', 'Puma tshirt', 'summer t-shirt', 'men apparel']"
5,1855,Inkfruit Mens Chain Reaction T-shirt,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Inkfruit Men's Grey Casual Chain Reaction T-shirt,"Stay cool and stylish this summer with the Inkfruit Men's Chain Reaction T-shirt in classic grey. Designed for casual wear, this t-shirt combines comfort with a trendy graphic design. Perfect for everyday outings and relaxed occasions.","['Made from breathable fabric ideal for summer', 'Comfortable fit tailored for men', 'Bold chain reaction graphic print on front', 'Classic grey color for versatile styling', 'Perfect for casual and everyday use']","['mens tshirt', 'grey tshirt', 'summer tshirt', 'casual tshirt', ""men's apparel"", 'topwear', 'Inkfruit tshirt']"
6,30805,Fabindia Men Striped Green Shirt,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Ethnic,Fabindia Men Striped Green Ethnic Shirt,"Elevate your summer wardrobe with the Fabindia Men Striped Green Shirt, designed for a comfortable ethnic look. Crafted specifically for men, this shirt features a subtle striped pattern in a refreshing green shade. Perfect for casual outings or traditional occasions, it blends style with comfort effortlessly.","['Ethnic style shirt with striped pattern', 'Made for men', 'Green base color for a fresh summer look', 'Lightweight and breathable fabric', 'Ideal for summer wear', 'Suitable for ethnic and casual occasions', 'Classic collar and button-down design']","['men shirt', 'green shirt', 'striped shirt', 'ethnic shirt', 'summer shirt', 'Fabindia shirt', 'men topwear', 'casual ethnic wear']"
7,26960,Jealous 21 Women Purple Shirt,Women,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,Jealous 21 Women Purple Casual Shirt,"Elevate your summer wardrobe with the Jealous 21 Women Purple Shirt. Designed for casual wear, this vibrant purple shirt blends comfort and style effortlessly. Perfect for relaxed outings or everyday wear, it adds a pop of color to your topwear collection.","['Made for women', 'Bright purple color', 'Casual style perfect for summer', 'Lightweight and breathable fabric', 'Classic shirt design with collar and buttons']","['shirt', 'purple', 'women', 'summer', 'casual', 'topwear', 'apparel']"
8,29114,Puma Men Pack of 3 Socks,Men,Accessories,Socks,Socks,Navy Blue,Summer,2012.0,Casual,Puma Men Pack of 3 Navy Blue Casual Socks,"Stay comfortable and stylish this summer with the Puma Men Pack of 3 Socks in navy blue. Designed for casual wear, these socks offer a perfect blend of durability and breathability. Ideal for everyday use, they ensure your feet stay cool and dry all day long.","['Pack of 3 socks for added value', 'Navy blue color complements casual outfits', 'Lightweight and breathable fabric', 'Designed specifically for men', 'Suitable for summer wear', 'Durable material ensures long-lasting use', 'Comfortable fit for daily casual activities']","['Puma socks', 'men socks', 'navy blue socks', 'casual socks', 'summer socks', 'pack of 3 socks', ""men's accessories"", 'comfortable socks']"
9,30039,Skagen Men Black Watch,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Skagen Men Black Casual Watch - Winter 2016,"The Skagen Men Black Watch combines sleek design with casual style, perfect for everyday wear. Featuring a minimalist black dial and strap, this watch is designed for comfort and durability. Ideal for the winter season, it complements any casual outfit effortlessly.","['Minimalist black dial with easy-to-read markers', 'Durable black silicone strap for comfortable wear', 'Water-resistant design suitable for daily use', 'Lightweight and slim profile for all-day comfort', 'Quartz movement for accurate timekeeping']","[""men's watch"", 'black watch', 'casual watch', 'winter accessories', 'Skagen watch', 'silicone strap', 'quartz watch', '2016 fashion', ""men's accessories""]"
