index,id,productDisplayName,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,title,description,features,keywords
0,15970,Turtle Check Men Navy Blue Shirt,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Turtle Check Men Navy Blue Casual Shirt,"Elevate your casual wardrobe with the Turtle Check Men Navy Blue Shirt. Designed for the fall season, this shirt combines comfort and style effortlessly. Its classic check pattern and navy blue hue make it perfect for everyday wear or relaxed outings. Crafted to suit men's fashion, it pairs well with jeans or chinos.","['Classic check pattern in navy blue', 'Designed specifically for men', 'Perfect for casual fall wear', 'Comfortable fabric for all-day use', 'Versatile style suitable for multiple occasions']","['shirt', 'navy blue', 'men', 'fall', 'casual', 'check pattern', 'topwear', 'apparel', '2011']"
1,39386,Peter England Men Party Blue Jeans,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Peter England Men Party Blue Jeans Casual Bottomwear,"Step out in style with the Peter England Men Party Blue Jeans, designed for casual summer wear. These blue jeans offer a comfortable fit and a trendy look perfect for any casual outing or party. Crafted to combine style and comfort, they are a must-have addition to your summer wardrobe.","['Classic blue color perfect for casual and party wear', 'Made from durable, comfortable fabric for all-day wear', 'Tailored fit enhancing the modern look', 'Ideal for summer season with breathable material', 'Versatile design suitable for various casual occasions']","['jeans', 'blue jeans', 'men', 'casual', 'summer', 'party wear', 'bottomwear', 'Peter England']"
2,59263,Titan Women Silver Watch,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Titan Women Silver Casual Watch for Winter,"Elevate your everyday look with the Titan Women Silver Watch, designed for casual elegance. This sleek silver watch complements winter outfits effortlessly, combining style and functionality. Perfect for women who appreciate timeless accessories that enhance their seasonal wardrobe.","['Elegant silver finish for a sophisticated look', 'Durable stainless steel strap', 'Quartz movement for precise timekeeping', 'Water-resistant design suitable for daily wear', 'Lightweight and comfortable for all-day use']","['Titan', ""women's watch"", 'silver watch', 'casual watch', 'winter accessories', 'fashion watch', 'stainless steel watch', 'quartz watch']"
3,21379,Manchester United Men Solid Black Track Pants,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011.0,Casual,Manchester United Men Solid Black Casual Track Pants,"Elevate your casual wardrobe with the Manchester United Men Solid Black Track Pants. Designed for comfort and style, these track pants are perfect for fall season wear. Crafted with a solid black color, they offer a sleek and versatile look suitable for everyday casual use. Whether you're lounging or on the go, these track pants provide a perfect blend of fashion and functionality.","['Solid black color for a sleek, versatile look', 'Designed specifically for men', 'Perfect for casual wear and everyday comfort', 'Ideal for fall season', 'Made with breathable fabric for all-day comfort', 'Elastic waistband with drawstring for adjustable fit', 'Durable stitching ensures long-lasting wear']","['track pants', 'black', 'men', 'casual', 'fall', 'bottomwear', 'Manchester United', 'comfortable', 'stylish']"
4,53759,Puma Men Grey T-shirt,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Puma Men Grey Casual T-shirt for Summer,"Stay cool and comfortable this summer with the Puma Men Grey T-shirt. Designed for casual wear, this t-shirt combines style and functionality effortlessly. Its breathable fabric makes it ideal for warm weather, ensuring you look sharp while feeling relaxed.","['Classic grey color for versatile styling', 'Lightweight and breathable fabric perfect for summer', 'Casual fit designed for everyday comfort', 'Durable material ensuring long-lasting wear', 'Short sleeves for enhanced airflow and comfort']","['Puma', ""Men's T-shirt"", 'Grey T-shirt', 'Summer wear', 'Casual T-shirt', ""Men's topwear"", 'Breathable fabric', 'Lightweight T-shirt']"
5,1855,Inkfruit Mens Chain Reaction T-shirt,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Inkfruit Mens Grey Casual Chain Reaction T-shirt,"Stay cool and stylish this summer with the Inkfruit Mens Chain Reaction T-shirt. This grey t-shirt is designed for casual wear, combining comfort and a trendy look. Its breathable fabric makes it perfect for warm weather, ensuring you stay comfortable all day long.","['Classic grey color for versatile styling', 'Made from breathable fabric ideal for summer', 'Casual fit for everyday comfort', 'Durable material for long-lasting wear', 'Round neckline for a modern look']","['tshirt', 'grey', 'summer', 'men', 'casual', 'Inkfruit', 'topwear', 'apparel']"
6,30805,Fabindia Men Striped Green Shirt,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Ethnic,Fabindia Men Green Striped Ethnic Shirt,"Elevate your summer wardrobe with the Fabindia Men Striped Green Shirt. Crafted for the ethnic wear enthusiast, this shirt combines traditional design with modern comfort. Perfect for casual outings and festive occasions, it offers a breathable and stylish fit. Embrace the essence of ethnic fashion with this versatile topwear.","['Ethnic striped pattern in green', 'Lightweight and breathable fabric ideal for summer', 'Full-sleeve design with buttoned cuffs', 'Regular fit for comfortable wear', 'Durable stitching for long-lasting use', 'Classic collar for a polished look', 'Versatile for casual and festive occasions']","['Men shirt', 'Green shirt', 'Ethnic shirt', 'Summer shirt', 'Striped shirt', 'Men topwear', 'Fabindia shirt', 'Casual ethnic wear']"
7,26960,Jealous 21 Women Purple Shirt,Women,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,Jealous 21 Women Purple Casual Shirt for Summer,"Stay stylish and comfortable this summer with the Jealous 21 Women Purple Shirt. Designed for casual wear, this shirt features a vibrant purple color that adds a pop of color to your wardrobe. Crafted to keep you cool and confident, it's perfect for warm weather outings.","['Vibrant purple color for a standout look', 'Lightweight fabric ideal for summer', 'Casual design perfect for everyday wear', 'Tailored fit enhancing feminine silhouette', 'Short sleeves for added comfort in warm weather']","['shirt', 'purple', 'summer', 'women', 'casual', 'topwear', 'Jealous 21', 'apparel']"
8,29114,Puma Men Pack of 3 Socks,Men,Accessories,Socks,Socks,Navy Blue,Summer,2012.0,Casual,Puma Men Pack of 3 Navy Blue Casual Socks,"Stay comfortable and stylish this summer with the Puma Men Pack of 3 Socks in navy blue. Designed for casual wear, these socks offer a perfect blend of durability and breathability. Ideal for daily use, they keep your feet fresh and supported throughout the day.","['Pack of 3 socks', 'Navy blue color', 'Designed for men', 'Suitable for casual use', 'Lightweight and breathable fabric', 'Durable construction for everyday wear', 'Perfect for summer season']","['Puma socks', 'men socks', 'navy blue socks', 'casual socks', 'summer socks', 'pack of 3 socks', ""men's accessories"", 'comfortable socks']"
9,30039,Skagen Men Black Watch,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Skagen Men Black Casual Watch - Winter 2016,"The Skagen Men Black Watch is a sleek and stylish accessory designed for casual wear. Featuring a minimalist black design, this watch perfectly complements any winter outfit. Crafted for comfort and durability, it’s an ideal timepiece for everyday use.","['Classic black dial with minimalist design', 'Durable black strap for comfortable wear', 'Suitable for casual winter outfits', 'Precision quartz movement', 'Water-resistant for everyday protection']","['watch', 'black watch', ""men's watch"", 'casual watch', 'winter accessories', 'Skagen watch', '2016 fashion', ""men's accessories""]"
