index,id,productDisplayName,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,title,description,features,keywords
0,15970,Turtle Check Men Navy Blue Shirt,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Turtle Check Men Navy Blue Casual Shirt,"Elevate your casual wardrobe with the Turtle Check Men Navy Blue Shirt. Designed for men, this shirt offers a perfect blend of style and comfort, ideal for the fall season. Its classic check pattern in a rich navy blue hue makes it a versatile choice for everyday wear. Crafted to keep you looking sharp and feeling relaxed.","['Checkered pattern for a timeless look', 'Navy blue base color suitable for fall', 'Comfortable fit designed for casual wear', 'Button-down front for easy styling', 'Long sleeves with buttoned cuffs', 'High-quality fabric for durability', 'Perfect for casual outings and events']","['shirt', ""men's shirt"", 'navy blue shirt', 'checkered shirt', 'casual shirt', 'fall shirt', ""men's apparel"", 'topwear', 'casual wear']"
1,39386,Peter England Men Party Blue Jeans,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Peter England Men Blue Casual Party Jeans,"Elevate your summer casual wardrobe with these Peter England Men Party Blue Jeans. Designed for comfort and style, these jeans are perfect for casual outings and parties. Made with durable fabric, they offer a great fit and timeless blue color that complements any look.","['Classic blue color suitable for various casual occasions', 'Durable denim fabric for long-lasting wear', 'Comfortable fit designed for men', 'Ideal for summer season wear', 'Trendy party-ready style', 'Versatile bottomwear for casual use']","['jeans', 'blue jeans', ""men's jeans"", 'casual jeans', 'party jeans', 'summer jeans', 'Peter England', ""men's bottomwear"", 'denim jeans']"
2,59263,Titan Women Silver Watch,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Titan Women Silver Casual Watch,"Elevate your everyday style with the Titan Women Silver Watch. Designed for casual wear, this elegant silver timepiece complements your winter wardrobe effortlessly. Its sleek and timeless design ensures it remains a versatile accessory for any occasion.","['Elegant silver finish', 'Designed specifically for women', 'Perfect for casual use', 'Durable and stylish metal strap', 'Ideal accessory for winter season', 'Precise timekeeping mechanism']","['watch', 'silver watch', ""women's watch"", 'casual watch', 'winter accessory', 'Titan watch', 'fashion watch']"
3,21379,Manchester United Men Solid Black Track Pants,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011.0,Casual,Manchester United Men Solid Black Casual Track Pants,"Stay comfortable and stylish with the Manchester United Men Solid Black Track Pants, designed for casual wear. These track pants feature a sleek solid black color, perfect for fall season outings. Crafted for men, they offer a relaxed fit ideal for everyday comfort and sporty looks.","['Solid black color for versatile styling', 'Designed specifically for men', 'Perfect for casual and everyday wear', 'Made for comfort during fall season', 'Classic track pants silhouette', 'Breathable and durable fabric']","['track pants', 'black track pants', ""men's track pants"", 'casual track pants', 'fall track pants', 'Manchester United apparel', ""men's bottomwear"", 'sporty pants']"
4,53759,Puma Men Grey T-shirt,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Puma Men Grey Casual T-shirt for Summer,"Stay comfortable and stylish this summer with the Puma Men Grey T-shirt. Designed specifically for casual wear, this t-shirt combines a classic grey color with a lightweight fabric perfect for warm weather. Its simple yet versatile design makes it a must-have addition to your summer wardrobe.","['Made from breathable fabric ideal for summer', 'Classic grey color suitable for various casual occasions', 'Designed specifically for men', 'Lightweight and comfortable fit', 'Durable material ensuring long-lasting wear']","['Puma', 'Men', 'Grey', 'T-shirt', 'Casual', 'Summer', 'Topwear', 'Apparel', 'Lightweight', 'Comfort']"
5,1855,Inkfruit Mens Chain Reaction T-shirt,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Inkfruit Mens Grey Casual T-shirt for Summer,"Stay cool and stylish this summer with the Inkfruit Mens Chain Reaction T-shirt. Crafted in a comfortable grey shade, this t-shirt is perfect for casual outings. Made from breathable fabric, it ensures all-day comfort and effortless style. A must-have addition to your summer wardrobe.","['Classic grey color for versatile styling', 'Lightweight and breathable fabric ideal for summer', 'Casual fit perfect for everyday wear', 'Durable material ensuring long-lasting use', 'Round neck design for a timeless look']","['Tshirt', 'Grey', 'Summer', 'Men', 'Casual', 'Topwear', 'Apparel', 'Inkfruit', 'Mens T-shirt', 'Chain Reaction']"
6,30805,Fabindia Men Striped Green Shirt,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Ethnic,Fabindia Men Striped Green Ethnic Shirt for Summer,"Experience the perfect blend of comfort and style with the Fabindia Men Striped Green Shirt. Designed specifically for men, this ethnic shirt features a refreshing green hue and striped pattern ideal for summer wear. Crafted to keep you cool and stylish, it is a versatile addition to your ethnic wardrobe. Ideal for casual outings and traditional events alike.","['Ethnic style shirt designed for men', 'Striped pattern in a refreshing green color', 'Lightweight fabric suitable for summer wear', 'Comfortable fit for all-day wear', 'Perfect for casual and traditional occasions']","['men shirt', 'green shirt', 'striped shirt', 'ethnic shirt', 'summer shirt', 'Fabindia', 'men apparel', 'topwear']"
7,26960,Jealous 21 Women Purple Shirt,Women,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,Jealous 21 Women Purple Casual Shirt for Summer,"Stay stylish and comfortable this summer with the Jealous 21 Women Purple Shirt. Designed for casual wear, this shirt combines a vibrant purple hue with a lightweight fabric perfect for warm weather. Its chic design and breathable material make it an essential addition to your summer wardrobe.","['Vibrant purple color for a trendy look', 'Lightweight and breathable fabric ideal for summer', 'Casual style perfect for daily wear', 'Designed specifically for women', 'Versatile shirt suitable for various casual occasions']","['shirt', 'purple', 'women', 'summer', 'casual', 'topwear', 'apparel', 'Jealous 21']"
8,29114,Puma Men Pack of 3 Socks,Men,Accessories,Socks,Socks,Navy Blue,Summer,2012.0,Casual,Puma Men Pack of 3 Navy Blue Casual Socks,"Stay comfortable and stylish this summer with the Puma Men Pack of 3 Socks in navy blue. Designed for casual wear, these socks provide a perfect fit and breathability. Ideal for everyday use, they combine the iconic Puma quality with a sleek look.","['Pack of 3 socks for great value', 'Navy blue color suitable for casual outfits', 'Designed specifically for men', 'Made from breathable materials for summer comfort', 'Perfect for casual, everyday wear', 'Durable and long-lasting fabric', 'Offers a snug and comfortable fit']","['socks', 'navy blue socks', 'men socks', 'casual socks', 'summer socks', 'Puma socks', 'pack of 3 socks']"
9,30039,Skagen Men Black Watch,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Skagen Men Black Casual Watch - Winter 2016,"The Skagen Men Black Watch is a sleek and stylish accessory perfect for casual wear. Featuring a minimalist design, this watch combines functionality with modern aesthetics. Ideal for winter, it complements any outfit while providing reliable timekeeping.","['Black dial with minimalist design', 'Durable black strap for comfortable wear', 'Designed for casual use', 'Suitable for winter season', 'Lightweight and stylish', 'Quartz movement for accurate timekeeping']","['watch', 'black watch', ""men's watch"", 'casual watch', 'winter accessory', 'Skagen watch', '2016 watch', ""men's accessories"", 'black']"
