index,product_name,price,category,additional_info,title,description,features,keywords
0,Turtle Check Men Navy Blue Shirt,0.0,Apparel,Shirts,Turtle Check Men Navy Blue Casual Shirt,"Upgrade your wardrobe with the Turtle Check Men Navy Blue Shirt, designed for style and comfort. This shirt features a classic navy blue and white check pattern that brings a timeless yet modern look. Crafted from lightweight, breathable fabric, it ensures all-day comfort whether you're at work, out with friends, or enjoying a casual weekend. The tailored fit complements various body types, while the button-down collar and full button placket add a refined touch. Perfect for pairing with jeans or chinos, this shirt effortlessly blends casual and smart-casual vibes. Its durable stitching and easy-care material make it a practical choice for everyday wear.","['Classic navy blue and white check pattern for versatile styling', 'Lightweight, breathable fabric for all-day comfort', 'Tailored fit enhances silhouette without compromising ease', 'Button-down collar and full button placket for a polished look', 'Durable stitching ensures long-lasting wear', 'Easy to pair with jeans, chinos, or casual trousers', 'Machine washable for convenient care']","men's check shirt, navy blue shirt, casual men's shirt, breathable men's shirt, tailored fit shirt, button-down collar shirt, men's cotton shirt, casual button-up shirt, men's checked shirt, everyday men's shirt, stylish men's shirt, easy care shirt, men's summer shirt, men's office casual shirt"
1,Peter England Men Party Blue Jeans,0.0,Apparel,Jeans,Peter England Men’s Stylish Blue Denim Jeans,"Upgrade your casual wardrobe with the Peter England Men Party Blue Jeans, designed to offer both style and comfort. Crafted from premium denim, these jeans feature a classic deep blue wash that effortlessly complements any outfit. The slim fit silhouette enhances your look with a modern edge, while the subtle fading and whiskering details add a touch of rugged sophistication. Perfect for parties, casual outings, or everyday wear, these jeans provide excellent durability and a comfortable stretch that moves with you. Finished with traditional five-pocket styling and sturdy stitching, they combine practicality with fashion-forward appeal. Step out confidently with jeans that blend timeless design and contemporary flair.","['Premium blue denim fabric for durability and comfort', 'Slim fit design for a modern, flattering silhouette', 'Classic five-pocket style with reinforced stitching', 'Subtle fading and whiskering for a trendy look', 'Versatile for parties, casual wear, and everyday use', 'Comfortable stretch fabric for ease of movement', 'Durable button and zip closure for secure fit']","Peter England jeans, men’s blue jeans, slim fit denim, party jeans for men, casual denim pants, durable men’s jeans, stretch jeans, stylish blue jeans, modern fit jeans, men's casual wear, premium denim jeans, everyday jeans, fashion jeans men, classic blue jeans, comfortable men’s jeans"
2,Titan Women Silver Watch,0.0,Accessories,Watches,Titan Women Silver Watch - Elegant Stainless Steel Timepiece,"Elevate your style with the Titan Women Silver Watch, a perfect blend of sophistication and functionality. Crafted with a sleek stainless steel mesh strap, this watch offers a comfortable fit and modern aesthetic. The minimalist round dial features a clean white face with subtle silver hour markers, making it easy to read and versatile for any outfit. Whether for daily wear or special occasions, this lightweight and durable watch complements both casual and formal looks effortlessly. Its timeless design ensures it remains a staple accessory in your collection for years to come.","['Elegant stainless steel mesh strap for comfort and durability', 'Minimalist white dial with silver hour markers for easy readability', 'Lightweight design suitable for all-day wear', 'Versatile style perfect for casual and formal occasions', 'Reliable quartz movement for accurate timekeeping', 'Water-resistant to protect against everyday splashes', 'Secure clasp ensures a snug, adjustable fit']","Titan women watch, silver watch for women, stainless steel watch, elegant women's watch, minimalist watch, quartz watch women, stylish women's accessories, durable women's timepiece, casual women's watch, formal women's watch, lightweight watch, water-resistant watch, mesh strap watch, modern women's watch, everyday wear watch"
3,Manchester United Men Solid Black Track Pants,0.0,Apparel,Track Pants,Manchester United Black Men’s Solid Track Pants,"Elevate your sporty style with the Manchester United Men Solid Black Track Pants. Crafted from a soft, breathable fabric, these track pants offer superior comfort and flexibility, perfect for workouts, casual outings, or relaxing at home. The sleek black color is complemented by the iconic Manchester United logo on the upper thigh, showcasing your team pride with subtle sophistication. The classic straight-leg fit and elastic waistband with drawstring ensure a secure and adjustable fit, while side pockets add practicality for your essentials. Whether you're hitting the gym or running errands, these track pants combine functionality with authentic football fan style.","['Soft, breathable fabric for all-day comfort', 'Classic black color with Manchester United logo detailing', 'Elastic waistband with adjustable drawstring for a perfect fit', 'Straight-leg design for a modern, versatile look', 'Convenient side pockets to keep essentials secure', 'Ideal for sports, casual wear, or lounging', 'Durable stitching ensures long-lasting wear']","Manchester United track pants, men’s black track pants, football fan apparel, sportswear for men, breathable track pants, adjustable waistband pants, casual athletic pants, football club merchandise, workout pants men, stylish track bottoms"
4,Puma Men Grey T-shirt,0.0,Apparel,Tshirts,Puma Men’s Grey Casual T-Shirt - Stylish & Comfortable,"Upgrade your everyday wardrobe with the Puma Men Grey T-shirt, designed for comfort and style. Crafted from soft, breathable fabric, this t-shirt offers a lightweight feel perfect for casual outings, workouts, or layering under jackets. The versatile grey color pairs effortlessly with any outfit, while the subtle Puma logo on the chest adds a touch of sporty sophistication. Featuring a classic crew neck and short sleeves, this tee delivers a relaxed fit that moves with you throughout the day. Whether you're hitting the gym or meeting friends, this Puma t-shirt combines quality and contemporary design to keep you looking sharp and feeling confident.","['Soft, breathable fabric for all-day comfort', 'Classic grey color for versatile styling', 'Iconic Puma logo detail on the chest', 'Relaxed fit with a crew neck design', 'Durable stitching for long-lasting wear', 'Ideal for casual wear, workouts, and layering', 'Lightweight material perfect for warm weather']","Puma t-shirt, men’s grey t-shirt, casual men’s shirt, breathable fabric tee, sporty t-shirt, comfortable men’s apparel, Puma logo shirt, short sleeve t-shirt, lightweight men’s tee, everyday wear t-shirt, gym t-shirt men, stylish men’s t-shirt, grey casual tee"
5,Inkfruit Mens Chain Reaction T-shirt,0.0,Apparel,Tshirts,Inkfruit Men's Chain Reaction Graphic T-Shirt,"Step up your casual wardrobe with the Inkfruit Men's Chain Reaction T-shirt, designed to deliver both style and comfort. This light grey tee features a bold, eye-catching graphic print across the chest that adds a modern, edgy vibe to your everyday look. Crafted from soft, breathable fabric, it ensures all-day comfort whether you're out with friends, running errands, or relaxing at home. The classic crew neck and short sleeves offer a timeless silhouette that pairs perfectly with jeans or shorts. Durable stitching and a lightweight feel make it an ideal choice for active lifestyles. Elevate your casual essentials with this versatile and trendy t-shirt that speaks volumes through its unique design and premium comfort.","['Soft, breathable fabric for all-day comfort', 'Stylish chain reaction graphic print for a bold look', 'Light grey color for versatile styling options', 'Classic crew neck and short sleeves for timeless appeal', 'Durable stitching for long-lasting wear', 'Lightweight material perfect for casual or active use', 'Ideal for pairing with jeans, shorts, or casual pants']","men's graphic t-shirt, casual men's tee, Inkfruit t-shirt, chain reaction design, breathable men's shirt, light grey t-shirt, men's summer apparel, trendy men's clothing, comfortable men's wear, short sleeve t-shirt, crew neck shirt, casual outfit, men's fashion tee, durable t-shirt, stylish men's top"
6,Fabindia Men Striped Green Shirt,0.0,Apparel,Shirts,Fabindia Men Striped Green Casual Shirt,"Elevate your casual wardrobe with the Fabindia Men Striped Green Shirt, designed for both comfort and style. This shirt features a soothing green base with subtle white vertical stripes that add a refined touch to your everyday look. Crafted from high-quality, breathable cotton, it ensures all-day comfort whether you're at work, a casual outing, or a relaxed weekend gathering. The shirt has a classic button-down front with a neat collar and long sleeves with buttoned cuffs, offering versatility to roll up or wear down. Its tailored fit provides a flattering silhouette without compromising on ease of movement. Perfect to pair with jeans or chinos, this shirt brings a timeless, effortless style to your wardrobe.","['Soft, breathable cotton fabric for all-day comfort', 'Elegant green color with subtle white vertical stripes', 'Classic button-down design with a neat collar', 'Long sleeves with buttoned cuffs for versatile styling', 'Tailored fit that balances style and comfort', 'Ideal for casual outings, office wear, and weekend plans', 'Easy to pair with jeans, chinos, or casual trousers']","Fabindia men shirt, green striped shirt, casual men's shirt, cotton shirt men, long sleeve shirt men, button-down shirt, men's casual wear, breathable fabric shirt, stylish men's shirt, striped shirt for men, summer shirt men, lightweight men's shirt, men's office casual shirt"
7,Jealous 21 Women Purple Shirt,0.0,Apparel,Shirts,Jealous 21 Women's Purple Casual Shirt,"Elevate your everyday wardrobe with the Jealous 21 Women's Purple Shirt, designed to blend comfort and style effortlessly. Crafted from a soft, breathable fabric, this shirt offers a smooth texture for all-day wear. Its rich purple hue adds a vibrant pop of color, perfect for casual outings or office wear. The tailored fit with a classic collar and button-down front creates a flattering silhouette, while the short sleeves keep you cool and comfortable. Versatile and chic, this shirt pairs beautifully with jeans, skirts, or trousers, making it an essential piece for any fashion-forward woman seeking both elegance and ease.","['Vibrant purple color for a stylish look', 'Soft, breathable fabric ensures all-day comfort', 'Classic collar and button-down front for a timeless appeal', 'Tailored fit enhances your silhouette', 'Short sleeves perfect for warm weather', 'Versatile design suitable for casual and office wear', 'Easy to pair with various bottoms for multiple looks']","Jealous 21 shirt, women's purple shirt, casual purple top, breathable fabric shirt, button-down shirt women, short sleeve shirt, stylish women's blouse, versatile women's shirt, casual office wear, tailored fit shirt, summer shirt women, vibrant purple shirt, everyday women's top, comfortable women's shirt, women's fashion shirt"
8,Puma Men Pack of 3 Socks,0.0,Accessories,Socks,Puma Men’s 3-Pack Cushioned Ankle Socks,"Upgrade your everyday comfort with the Puma Men’s Pack of 3 Socks, designed to keep your feet fresh and supported all day long. These ankle-length socks come in a sleek black color with a contrasting white Puma logo on the cuff, adding a sporty touch to your casual or athletic wear. Crafted from a soft, breathable fabric blend, they offer excellent moisture-wicking properties to keep sweat at bay. The cushioned sole enhances comfort during extended wear, making them ideal for workouts, sports, or daily use. The elastic arch support ensures a secure fit without slipping, while the reinforced toe and heel add durability. Whether you're hitting the gym or running errands, these Puma socks combine style and performance for the active man.","['Pack of 3 black ankle socks with white Puma logo', 'Soft, breathable fabric for all-day comfort', 'Cushioned sole provides extra support and shock absorption', 'Elastic arch support for a secure, non-slip fit', 'Reinforced toe and heel for enhanced durability', 'Moisture-wicking properties keep feet dry', 'Ideal for sports, workouts, and everyday wear']","Puma socks, men's ankle socks, cushioned socks, black sports socks, breathable socks, moisture-wicking socks, athletic socks, durable socks, Puma accessories, workout socks, men's casual socks, pack of 3 socks, supportive socks, comfortable socks"
9,Skagen Men Black Watch,0.0,Accessories,Watches,Skagen Men Black Watch - Sleek Minimalist Timepiece,"Elevate your style with the Skagen Men Black Watch, a perfect blend of modern design and timeless elegance. This watch features a matte black stainless steel mesh band that offers both durability and comfort for all-day wear. The minimalist black dial is accented with subtle silver hour markers and hands, delivering a clean, sophisticated look that complements any outfit—from casual to formal. Its slim profile and lightweight design make it ideal for everyday use, while the precise quartz movement ensures accurate timekeeping. Whether you're heading to the office or a night out, this watch adds a refined touch to your accessory collection.","['Matte black stainless steel mesh band for durability and comfort', 'Minimalist black dial with silver-tone markers for easy reading', 'Slim and lightweight design perfect for everyday wear', 'Precise quartz movement ensures accurate timekeeping', 'Water-resistant for added protection during daily activities', 'Versatile style suitable for casual and formal occasions', 'Scratch-resistant mineral crystal protects the dial']","Skagen watch, men's black watch, minimalist watch, stainless steel mesh band, quartz movement watch, black dial watch, slim men's watch, durable men's watch, stylish men's accessory, water-resistant watch, scratch-resistant watch, modern men's watch, elegant men's timepiece, casual black watch, formal men's watch"
